"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2";"LED_16x08mm";1;"LED_X2";;;
2;"P2";"USB-SMD";1;"USB";;;
3;"P3";"PIN_ARRAY_5X1_large_pads";1;"GPIO";;;
4;"P4";"PIN_ARRAY_4X1_large_pads";1;"UART";;;
5;"P6";"PIN_ARRAY_4X1_large_pads";1;"PWR_JMP";;;
6;"P5";"CENTRONICS_24PIN_MALE_90_NorComp_112-024-113R001";1;"GPIB";;;
7;"U1";"SO20L";1;"SN75160";;;
8;"U2";"SO20L";1;"SN75161";;;
9;"R4,R1";"SM0805";2;"2.2k";;;
10;"R2,R3";"SM0805";2;"22";;;
11;"C7,C8,C6,C3,C5,C2";"SM0603_Capa";6;"100n";;;
12;"IC1";"TQFP44";1;"ATMEGA16U4";;;
13;"C1";"SM0805";1;"100n";;;
14;"L1";"SM0805";1;"Ferrite";;;
15;"C4";"SM0805";1;"1Âµ";;;
16;"P1";"SOLPAD_3X2";1;"ISP";;;
17;"R5,R7,R6";"SM0805";3;"R";;;
18;"D1";"LED-0603";1;"PWR";;;
